S. NO,LOT,NAME,COUNTRY,Rtm available ,BASE PRICE,Set,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,4s,6s,INNS,B,RUNS,WKTS,ECON,AVG,SR,4W,5W,Sale Price,Team
153,9,Rishi Dhawan,India,PBKS,50,ALL ROUNDERS 2,25,20,4,226,33,14.12,159,142.14,0,0,12,14,5,54,113,2,12.6,56.5,27,0,0,,
154,9,Venkatesh Iyer,India,KKR,20,ALL ROUNDERS 2,22,22,2,552,67,27.6,457,120.79,0,5,54,21,8,74,115,3,9.3,38.3,24.6,0,0,,
155,9,Daniel Sams,Australia,MI,100,ALL ROUNDERS 2,16,13,4,44,15,4.89,44,100,0,0,1,3,16,360,523,14,8.7,37.4,25.7,1,0,,
156,9,Dwaine Pretorius,South Africa,CSK,50,ALL ROUNDERS 2,6,5,1,44,22,11,28,157.14,0,0,3,3,6,126,210,6,10,35,21,0,0,,
157,9,Cameron Green,Australia,_,200,ALL ROUNDERS 2,8,8,0,139,61,17.4,80,173.8,0,2,17,8,7,120,178,5,8.9,35.6,24,0,0,,
158,10,K.M. Asif,India,CSK,20,FAST BOWLERS 2,3,0,0,0,0,,0,,0,0,0,0,3,49,93,4,11.5,23.2,12.1,0,0,,
159,10,Akash Deep,India,RCB,20,FAST BOWLERS 2,5,1,0,0,0,0,2,0,0,0,0,0,5,111,205,5,11.1,41,22.2,0,0,,
161,10,Tushar Deshpande,India,CSK,20,FAST BOWLERS 2,7,2,1,21,20,21,12,175,0,0,2,1,7,144,255,4,10.6,63.8,36,0,0,,
162,10,Ishan Porel,India,PBKS,20,FAST BOWLERS 2,1,0,0,0,0,,0,,0,0,0,0,1,24,39,1,9.8,39,24,0,0,,
163,10,Kartik Tyagi,India,SRH,20,FAST BOWLERS 2,16,7,3,13,7,3.25,16,81.25,0,0,1,0,16,361,570,14,9.5,40.7,25.8,0,0,,
164,10,Simarjeet Singh,India,CSK,20,FAST BOWLERS 2,6,3,2,7,3,7,8,87.5,0,0,0,0,6,108,138,4,7.7,34.5,27,0,0,,
165,10,Mukesh Choudhary,India,CSK,20,FAST BOWLERS 2,13,2,1,6,4,6,6,100,0,0,1,0,13,272,424,16,9.4,26.5,17,1,0,,
167,10,Khaleel Ahmed,India,DC,50,FAST BOWLERS 2,34,5,0,1,1,0.2,7,14.29,0,0,0,0,34,774,1101,48,8.5,22.9,16.1,0,0,,
168,10,Chetan Sakariya,India,DC,50,FAST BOWLERS 2,17,6,1,16,7,3.2,25,64,0,0,2,0,17,378,510,17,8.1,30,22.2,0,0,,
169,10,Mohsin Khan,India,LSG,20,FAST BOWLERS 2,9,3,2,23,13,23,16,143.75,0,0,2,1,9,198,197,14,6,14.1,14.1,1,0,,
170,10,Siddharth Kaul,India,RCB,75,FAST BOWLERS 2,55,12,8,20,7,5,36,55.56,0,0,1,0,55,1205,1739,58,8.7,30,20.8,1,0,,
171,10,Ishant Sharma,India,_,150,FAST BOWLERS 2,93,25,19,55,10,9.17,61,90.16,0,0,4,2,93,1995,2701,72,8.1,37.5,27.7,0,1,,
172,10,Yash Dayal,India,GT,20,FAST BOWLERS 2,9,1,0,0,0,0,1,0,0,0,0,0,9,192,296,11,9.2,26.9,17.5,0,0,,
173,10,Mukesh Kumar,India,_,20,FAST BOWLERS 2,23,6,5,4,2,4,8,50,0,0,0,0,23,493,592,25,7.2,23.7,19.7,0,0,,
174,10,Raj Bawa,India,PBKS,20,FAST BOWLERS 2,2,2,0,11,11,5.5,14,78.57,0,0,1,0,0,0,0,0,,,,0,0,,
175,10,Matheesha Pathirana,Sri Lanka,CSK,20,FAST BOWLERS 2,2,0,0,0,0,,0,,0,0,0,0,2,39,52,2,8,26,19.5,0,0,,
176,10,Alzarri Joseph,West Indies,GT,75,FAST BOWLERS 2,12,5,4,20,15,20,20,100,0,0,2,0,12,230,351,13,9.1,27,17.7,0,1,,
177,10,Fazalhaq Farooqi,Afghanistan,SRH,50,FAST BOWLERS 2,3,1,1,2,2,-,8,25,0,0,0,0,3,72,110,2,9.2,55,36,0,0,,
178,11,Murugan Ashwin,India,MI,20,SPIN BOWLERS 2,42,13,4,35,9,3.89,50,70,0,0,2,1,42,844,1109,35,7.9,31.7,24.1,0,0,,
179,11,Shreyas Gopal,India,SRH,20,SPIN BOWLERS 2,49,22,8,180,24,12.86,169,106.51,0,0,19,2,48,949,1282,49,8.1,26.2,19.4,1,0,,
180,11,R. Sai Kishore,India,GT,20,SPIN BOWLERS 2,5,0,0,0,0,,0,,0,0,0,0,5,96,121,6,7.6,20.2,16,0,0,,
181,11,Mayank Markande,India,MI,50,SPIN BOWLERS 2,20,8,5,27,7,9,29,93.1,0,0,3,0,20,360,510,17,8.5,30,21.2,1,0,,
182,11,Shahbaz Nadeem,India,SRH,50,SPIN BOWLERS 2,72,22,8,39,6,2.79,87,44.83,0,0,2,0,70,1413,1784,48,7.6,37.2,29.4,0,0,,
183,11,Pravin Dubey,India,_,20,SPIN BOWLERS 2,3,1,1,7,7,-,13,53.85,0,0,0,0,3,48,72,0,9,-,-,0,0,,
184,11,KC Cariappa,India,RR,20,SPIN BOWLERS 2,11,5,2,24,12,8,21,114.29,0,0,0,2,11,216,348,8,9.7,43.5,27,0,0,,
185,11,Kuldeep Sen,India,RR,20,SPIN BOWLERS 2,7,1,1,0,0,,3,0,0,0,0,0,7,151,237,8,9.4,29.6,18.8,1,0,,
186,11,Sandeep Lamichhane,Nepal,_,40,SPIN BOWLERS 2,9,1,0,0,0,0,1,0,0,0,0,0,9,210,292,13,8.3,22.5,16.2,0,0,,
187,12,Shivam Dube,India,CSK,50,ALL ROUNDERS 3,35,33,5,688,95,24.57,516,133.33,0,3,46,38,13,104,166,4,9.5,41.5,26.1,0,0,,
188,12,K. Gowtham,India,LSG,50,ALL ROUNDERS 3,28,20,6,186,33,13.29,111,167.57,0,0,13,12,28,480,661,18,8.3,36.7,26.7,0,0,,
189,12,Vijay Shankar,India,GT,50,ALL ROUNDERS 3,51,43,12,731,63,23.58,599,122.04,0,3,46,28,22,236,344,9,8.7,38.2,26.3,0,0,,
190,12,Rajvardhan Hangargekar,India,CSK,30,ALL ROUNDERS 3,8,3,1,15,9,7.5,12,125,0,0,1,1,7,144,200,5,8.33,40,28.8,0,0,,
191,12,Mahipal Lomror,India,RCB,40,ALL ROUNDERS 3,18,15,2,267,47,20.54,208,128.37,0,0,15,13,8,72,92,1,7.7,92,72,0,0,,
192,12,Jagadeesha Suchith,India,SRH,20,ALL ROUNDERS 3,22,10,6,70,34,17.5,61,114.75,0,0,6,3,21,420,602,19,8.6,31.7,22.1,0,0,,
193,12,Mayank Dagar,India,PBKS,20,ALL ROUNDERS 3,44,17,3,72,21,5.1,93,77.4,0,0,5,1,44,926,955,44,6.17,21.7,21.1,0,0,,
194,12,Nishant Sandhu,India,_,20,ALL ROUNDERS 3,8,8,1,90,42,12.8,84,107.1,0,0,4,5,6,96,96,5,6,19.2,19.2,0,0,,
195,12,Bhagat Varma,India,CSK,20,ALL ROUNDERS 3,5,2,2,1,1,-,1,100,0,0,0,0,4,66,64,2,5.81,32,33,0,0,,
196,12,Lalit Yadav,India,DC,20,ALL ROUNDERS 3,19,13,4,229,48,25.44,219,104.57,0,0,18,7,13,192,251,8,7.8,31.4,24,0,0,,
197,12,Jayant Yadav,India,GT,100,ALL ROUNDERS 3,19,5,1,40,23,10,36,111.11,0,0,2,1,19,366,419,8,6.9,52.4,45.8,0,0,,
198,12,Anukul Roy,India,KKR,20,ALL ROUNDERS 3,3,1,0,0,0,0,2,0,0,0,0,0,3,54,66,2,7.3,33,27,0,0,,
199,12,Marco Jansen,South Africa,SRH,50,ALL ROUNDERS 3,10,5,2,9,8,3,10,90,0,0,0,1,10,228,319,9,8.4,35.4,25.3,0,0,,
200,12,Kyle Jamieson,New Zealand,_,100,ALL ROUNDERS 3,9,7,3,65,16,16.25,55,118.18,0,0,5,3,9,168,269,9,9.6,29.9,18.7,0,0,,
201,13,Anmolpreet Singh,India,MI,20,BATSMEN 3,3,3,0,29,16,9.67,27,107.41,0,0,3,1,0,0,0,0,,,,0,0,,
202,13,Ramandeep Singh,India,MI,20,BATSMEN 3,5,4,2,45,14,22.5,40,112.5,0,0,3,1,-,-,-,-,-,-,-,-,-,,
203,13,Suyash Prabhudessai,India,RCB,20,BATSMEN 3,5,5,0,67,34,13.4,59,113.56,0,0,7,2,-,-,-,-,-,-,-,-,-,,
204,13,Shaikh Rasheed,India,_,20,BATSMEN 3,3,3,1,56,37,28,50,112,0,0,5,0,-,-,-,-,-,-,-,-,-,,
205,13,Sai Sudharshan,India,GT,20,BATSMEN 3,5,5,1,145,65,36.25,114,127.19,0,1,14,3,-,-,-,-,-,-,-,-,-,,
206,13,Virat Singh,India,_,20,BATSMEN 3,3,2,0,15,11,7.5,26,57.69,0,0,1,0,-,-,-,-,-,-,-,-,-,,
207,13,Manoj Bhandage,India,_,20,BATSMEN 3,15,7,2,116,41,23.2,75,154.7,0,0,7,8,-,-,-,-,-,-,-,-,-,,
208,13,Baba Indrajith,India,KKR,20,BATSMEN 3,3,3,0,21,15,7,30,70,0,0,2,0,-,-,-,-,-,-,-,-,-,,
209,13,Shashank Singh,India,SRH,20,BATSMEN 3,10,5,1,69,25,17.25,47,146.81,0,0,5,4,2,12,20,0,10,-,-,0,0,,
210,13,Dhruv Shorey,India,_,20,BATSMEN 3,2,2,0,13,8,6.5,17,76.47,0,0,0,1,-,-,-,-,-,-,-,-,-,,
211,13,Harry Brook ,England,_,200,BATSMEN 3,20,17,3,372,81,26.6,270,137.8,0,1,30,15,0,#REF!,0,0,0,0,0,0,0,,
212,13,Daryl Mitchell,New Zealand,RR,75,BATSMEN 3,2,2,0,33,17,16.5,44,75,0,0,1,0,2,12,27,0,13.5,-,-,0,0,,
213,13,Kyle Mayers,West Indies,LSG,50,BATSMEN 3,21,20,1,408,73,21.5,316,129.1,0,2,43,22,8,#REF!,20,0,10,0,0,0,0,,
214,14,Kedar Jadhav,India,_,100,ALL ROUNDERS 4,93,80,26,1196,69,22.15,971,123.17,0,4,101,40,0,#REF!,0,0,,,,0,0,,
215,14,Tim David,Australia,MI,40,ALL ROUNDERS 4,9,9,3,187,46,31.17,89,210.11,0,0,12,16,0,0,0,0,,,,0,0,,
216,14,Fabian Allen,West Indies,_,70,ALL ROUNDERS 4,5,4,2,14,8,7,19,73.68,0,0,1,0,4,90,136,2,9.1,68,45,0,0,,
217,14,Ben Cutting,Australia,_,70,ALL ROUNDERS 4,21,17,6,238,39,21.64,141,168.79,0,0,15,19,17,279,429,10,9.2,42.9,27.9,0,0,,
218,14,David Wiese,Namibia,_,50,ALL ROUNDERS 4,15,8,4,127,47,31.75,90,141.11,0,0,12,4,14,277,402,16,8.7,25.1,17.3,1,0,,
219,14,Carlos Brathwaite,West Indies,_,70,ALL ROUNDERS 4,16,14,1,181,43,13.92,111,163.06,0,0,10,16,16,253,379,13,9,29.2,19.5,0,0,,
220,14,Colin De Grandhomme,New Zealand,_,100,ALL ROUNDERS 4,25,21,5,303,40,18.94,225,134.67,0,0,18,18,19,216,319,6,8.9,53.2,36,0,0,,
221,2,Rovman Powell,West Indies,DC,100,BATSMEN 1,14,12,2,250,67*,25,167,149.7,0,1,10,22,14,6,17,0,17,-,-,0,0,,
222,2,Shubman Gill,India,GT,200,BATSMEN 1,74,71,12,1900,96,32.2,1517,125.2,0,14,188,47,74,-,-,-,-,-,-,-,-,,
223,11,Hrithick Shokeen,India,MI,20,SPIN BOWLERS 2,5,3,1,43,25,21.5,48,89.6,0,0,5,0,5,90,127,2,8.46,63.5,45,0,0,,
225,4,Mohammed Siraj,India,RCB,200,FAST BOWLERS 1,65,20,13,96,14*,13.7,109,88.1,0,0,10,2,65,1334,1951,59,8.77,33.1,22.6,1,0,,
226,4,Navdeep Saini,India,RR,200,FAST BOWLERS 1,30,7,3,33,12*,8.2,37,89.2,0,0,3,0,30,622,900,20,8.68,45,31.1,0,0,,
227,4,Umran Malik,India,SRH,200,FAST BOWLERS 1,17,4,3,4,3*,4,8,50,0,0,0,0,17,367,540,24,8.82,22.5,15.3,1,1,,
